,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,eFG%,FT%
10539,1992.0,Lester Conner,PG,32.0,MIL,81.0,1420.0,13.3,0.496,0.029,0.481,4.9,10.1,27.1,3.4,0.4,21.4,10.9,1.4,1.3,2.7,0.091,-1.2,0.8,0.0,0.444,0.431,0.704
10549,1992.0,Terry Cummings,PF,30.0,SAS,70.0,2149.0,18.5,0.52,0.012,0.236,12.7,19.3,7.7,1.3,1.0,9.0,25.1,3.2,3.2,6.5,0.145,0.8,-0.7,0.385,0.489,0.491,0.711
10560,1992.0,James Donaldson,C,34.0,TOT,58.0,1075.0,11.1,0.504,0.0,0.351,9.5,19.5,4.5,0.4,2.8,14.5,13.3,0.4,0.9,1.4,0.061,-3.7,0.6,,0.457,0.457,0.709
10572,1992.0,Mark Eaton,C,35.0,UTA,81.0,2023.0,9.1,0.478,0.0,0.363,8.8,18.2,2.5,0.9,6.2,17.7,7.2,0.4,3.5,3.8,0.091,-3.1,4.7,,0.446,0.446,0.598
10575,1992.0,James Edwards,C,36.0,LAC,72.0,1437.0,11.7,0.531,0.002,0.504,4.2,11.4,5.5,0.8,1.4,9.9,21.6,1.3,1.5,2.8,0.094,-2.6,-1.4,0.0,0.466,0.465,0.731
10577,1992.0,Craig Ehlo,SG,30.0,CLE,63.0,2016.0,13.8,0.526,0.244,0.18,5.4,11.4,16.6,2.0,0.6,12.3,18.2,2.0,1.9,3.8,0.091,1.3,0.3,0.413,0.466,0.504,0.707
10580,1992.0,Dale Ellis,SF,31.0,MIL,81.0,2191.0,15.9,0.564,0.318,0.205,4.6,8.7,7.7,1.3,0.5,9.5,23.8,4.1,0.7,4.8,0.105,2.3,-3.1,0.419,0.492,0.536,0.774
10589,1992.0,Sleepy Floyd,PG,31.0,HOU,82.0,1662.0,12.1,0.478,0.175,0.241,2.3,7.6,22.1,1.7,0.7,14.1,23.7,-0.3,1.2,0.9,0.025,-2.1,-2.0,0.301,0.429,0.433,0.794
10620,1992.0,Sidney Green,PF,31.0,SAS,80.0,1127.0,10.5,0.479,0.0,0.259,9.0,24.0,4.4,1.3,0.6,13.9,16.6,0.0,1.9,1.9,0.079,-4.4,-0.5,,0.427,0.427,0.82
10627,1992.0,Derek Harper,PG,30.0,DAL,65.0,2252.0,16.7,0.512,0.184,0.258,2.2,5.9,28.0,2.3,0.5,12.0,24.4,2.3,1.2,3.5,0.075,2.2,-1.5,0.312,0.473,0.472,0.759
10661,1992.0,Eddie Johnson,SF,32.0,SEA,81.0,2366.0,16.1,0.528,0.092,0.29,5.6,8.6,10.9,1.2,0.3,9.0,25.6,4.5,1.1,5.6,0.114,1.3,-2.6,0.252,0.48,0.47,0.861
10664,1992.0,Vinnie Johnson,SG,35.0,SAS,60.0,1350.0,10.4,0.446,0.12,0.17,5.5,9.2,15.3,1.5,0.6,12.1,19.1,-0.3,1.5,1.2,0.042,-2.0,-0.3,0.317,0.417,0.424,0.647
10665,1992.0,Charles Jones,C,34.0,WSB,75.0,1365.0,6.8,0.4,0.0,0.444,8.2,17.4,5.5,1.5,4.1,26.6,4.5,0.0,1.8,1.8,0.063,-4.8,4.2,,0.367,0.367,0.5
10675,1992.0,Greg Kite,C,30.0,ORL,72.0,1479.0,7.7,0.465,0.005,0.316,11.5,19.1,3.9,1.0,2.4,19.9,8.6,0.1,1.3,1.4,0.045,-3.7,1.7,0.0,0.439,0.437,0.588
10681,1992.0,Bill Laimbeer,C,34.0,DET,81.0,2234.0,12.6,0.515,0.117,0.103,5.3,17.4,11.0,1.2,1.5,11.8,16.9,1.6,3.3,4.9,0.105,-1.3,1.8,0.376,0.483,0.492,0.893
10692,1992.0,Cliff Levingston,PF,31.0,CHI,79.0,1020.0,13.1,0.53,0.024,0.382,12.7,13.0,8.1,1.3,2.8,12.5,14.2,1.5,1.5,2.9,0.139,-0.2,1.2,0.167,0.506,0.5,0.625
10703,1992.0,Jeff Malone,SG,30.0,UTA,81.0,2922.0,15.1,0.554,0.009,0.211,2.0,6.8,10.0,1.0,0.1,8.7,23.9,4.5,2.1,6.6,0.108,0.5,-1.7,0.083,0.515,0.511,0.898
10705,1992.0,Moses Malone,C,36.0,MIL,82.0,2511.0,19.2,0.556,0.009,0.543,14.0,20.1,5.6,1.5,1.6,11.5,21.7,5.6,2.2,7.8,0.148,1.0,-0.9,0.375,0.474,0.475,0.786
10722,1992.0,Rodney McCray,SF,30.0,DAL,75.0,2106.0,12.6,0.491,0.137,0.246,7.3,16.6,15.7,1.2,0.9,14.3,16.4,1.0,1.5,2.5,0.057,-1.0,0.9,0.294,0.458,0.456,0.719
10724,1992.0,Kevin McHale,PF,34.0,BOS,56.0,1398.0,18.5,0.553,0.021,0.257,9.8,15.9,8.8,0.4,2.5,10.4,24.2,2.5,1.5,4.0,0.136,0.9,-0.6,0.0,0.52,0.509,0.822
10742,1992.0,Larry Nance,PF,32.0,CLE,81.0,2880.0,21.4,0.586,0.006,0.31,8.6,17.1,12.0,1.4,4.9,6.9,19.1,8.2,4.0,12.2,0.204,2.9,2.8,0.0,0.542,0.539,0.822
10755,1992.0,Robert Parish,C,38.0,BOS,79.0,2285.0,18.9,0.571,0.0,0.265,11.1,22.4,4.4,1.5,2.5,11.8,20.8,3.8,3.6,7.4,0.155,0.3,0.6,,0.535,0.535,0.772
10756,1992.0,John Paxson,PG,31.0,CHI,79.0,1946.0,10.9,0.551,0.09,0.076,1.3,4.3,15.7,1.3,0.3,8.0,12.1,3.0,1.7,4.7,0.117,-0.3,-1.2,0.273,0.553,0.54,0.784
10760,1992.0,Sam Perkins,PF,30.0,LAL,63.0,2332.0,17.6,0.538,0.086,0.463,9.2,18.0,9.3,1.4,1.6,7.9,19.7,5.0,2.4,7.4,0.153,1.6,0.4,0.217,0.471,0.459,0.817
10769,1992.0,Ricky Pierce,SG,32.0,SEA,78.0,2658.0,18.2,0.561,0.094,0.348,4.0,6.2,14.7,1.6,0.5,11.1,26.8,6.5,1.4,7.8,0.142,2.9,-2.3,0.268,0.496,0.487,0.916
10792,1992.0,Doc Rivers,PG,30.0,LAC,59.0,1657.0,13.8,0.518,0.173,0.368,1.5,8.4,19.9,3.3,0.7,12.9,18.3,1.5,2.4,3.9,0.113,-0.2,1.2,0.283,0.454,0.448,0.832
10793,1992.0,Fred Roberts,PF,31.0,MIL,80.0,1746.0,12.9,0.534,0.057,0.265,6.5,10.5,10.6,1.5,1.4,14.5,20.2,1.3,0.9,2.2,0.06,-1.0,-0.9,0.514,0.48,0.497,0.749
10801,1992.0,Dennis Rodman,PF,30.0,DET,82.0,3301.0,17.0,0.574,0.159,0.22,18.1,34.1,8.2,1.1,1.3,16.7,11.1,5.6,7.0,12.6,0.183,1.3,3.7,0.317,0.581,0.564,0.6
10818,1992.0,Byron Scott,SG,30.0,LAL,82.0,2679.0,15.5,0.537,0.156,0.29,3.1,10.2,13.4,2.0,0.6,9.5,20.4,3.9,2.1,6.0,0.107,1.1,-0.6,0.344,0.479,0.485,0.838
10850,1992.0,Terry Teagle,SG,31.0,LAL,82.0,1602.0,14.5,0.493,0.005,0.245,6.4,6.6,12.3,2.1,0.3,11.3,27.5,0.2,1.0,1.3,0.038,-1.2,-2.5,0.25,0.453,0.453,0.766
10853,1992.0,Isiah Thomas,PG,30.0,DET,78.0,2918.0,16.0,0.505,0.068,0.299,2.7,6.9,31.3,2.1,0.3,15.0,25.3,2.4,3.4,5.8,0.095,1.0,-0.2,0.291,0.458,0.456,0.772
10855,1992.0,LaSalle Thompson,C,30.0,IND,80.0,1299.0,10.9,0.505,0.006,0.198,8.8,22.9,10.5,1.9,1.6,20.1,15.8,-0.2,1.7,1.6,0.058,-3.4,1.4,0.0,0.471,0.468,0.817
10861,1992.0,Sedale Threatt,PG,30.0,LAL,82.0,3070.0,16.6,0.54,0.06,0.233,1.6,7.9,30.3,2.8,0.3,13.7,18.9,4.7,2.6,7.3,0.114,1.6,-0.5,0.323,0.499,0.499,0.831
10874,1992.0,Darrell Walker,SG,30.0,DET,74.0,1541.0,10.9,0.453,0.026,0.276,6.3,11.1,18.9,2.1,0.7,15.6,14.4,0.3,2.1,2.4,0.075,-2.1,1.9,0.0,0.434,0.423,0.619
10877,1992.0,Mark West,C,31.0,PHO,82.0,1436.0,12.5,0.65,0.0,0.552,10.8,17.4,2.0,0.5,3.2,17.5,13.5,2.1,1.8,3.9,0.131,-1.2,0.0,,0.632,0.632,0.637
10885,1992.0,Dominique Wilkins,SF,32.0,ATL,42.0,1601.0,22.2,0.552,0.14,0.385,6.7,13.1,16.1,1.6,0.9,10.2,30.7,3.8,1.3,5.1,0.152,4.2,-1.1,0.289,0.492,0.484,0.835
10887,1992.0,Buck Williams,PF,31.0,POR,80.0,2519.0,15.0,0.651,0.002,0.52,11.3,19.2,5.8,1.2,1.0,15.8,13.3,5.4,3.8,9.2,0.175,1.1,1.5,0.0,0.605,0.604,0.754
10888,1992.0,Herb Williams,C,33.0,DAL,75.0,2040.0,12.6,0.464,0.007,0.201,5.4,18.7,7.6,0.9,2.9,11.0,21.9,-1.0,1.9,0.8,0.02,-4.0,0.2,0.167,0.433,0.432,0.725
10902,1992.0,Orlando Woolridge,SF,32.0,DET,82.0,2113.0,14.9,0.539,0.01,0.389,5.9,8.0,7.0,1.0,1.0,11.1,24.8,2.3,2.1,4.4,0.099,-0.8,-1.3,0.111,0.502,0.499,0.683
10903,1992.0,James Worthy,SF,30.0,LAL,54.0,2108.0,16.7,0.49,0.043,0.203,5.2,11.4,20.3,1.9,0.7,10.4,25.4,1.4,1.6,3.1,0.07,1.0,-0.3,0.209,0.457,0.451,0.814
10915,1993.0,Michael Adams,PG,30.0,WSB,70.0,2499.0,15.6,0.543,0.255,0.333,2.3,8.6,30.6,2.0,0.1,15.5,19.2,3.3,1.2,4.6,0.088,1.6,-1.6,0.321,0.48,0.48,0.856
10917,1993.0,Mark Aguirre,SF,33.0,DET,51.0,1056.0,13.7,0.525,0.197,0.306,4.3,12.0,15.3,0.8,0.4,12.4,22.2,1.1,0.7,1.8,0.082,-0.3,-1.3,0.361,0.463,0.479,0.767
10918,1993.0,Danny Ainge,SG,33.0,PHO,80.0,2163.0,14.3,0.596,0.51,0.199,2.6,8.3,16.5,1.5,0.2,12.5,17.3,4.5,1.8,6.2,0.139,3.0,-1.3,0.403,0.522,0.564,0.848
10923,1993.0,Ron Anderson,SF,34.0,PHI,69.0,1263.0,11.8,0.481,0.221,0.164,5.3,10.4,11.7,1.2,0.2,9.7,21.6,0.0,0.5,0.5,0.019,-1.7,-2.6,0.325,0.439,0.449,0.809
10935,1993.0,Thurl Bailey,PF,31.0,MIN,70.0,1276.0,12.9,0.516,0.0,0.318,5.0,15.2,7.9,0.8,2.3,10.6,19.8,0.6,0.6,1.2,0.046,-3.3,-1.6,,0.455,0.455,0.838
10948,1993.0,Rolando Blackman,SG,33.0,NYK,60.0,1434.0,10.6,0.501,0.135,0.167,1.8,5.9,17.1,0.8,0.5,10.1,19.4,0.9,2.0,2.9,0.097,-1.6,-0.4,0.425,0.446,0.472,0.789
10958,1993.0,Sam Bowie,C,31.0,NJN,79.0,2092.0,13.2,0.5,0.009,0.284,8.2,20.9,8.8,0.8,3.8,14.3,16.8,0.9,3.3,4.3,0.098,-2.5,2.5,0.333,0.451,0.451,0.779
10961,1993.0,Frank Brickowski,C,33.0,MIL,66.0,2075.0,17.0,0.584,0.031,0.321,6.6,16.0,15.5,1.9,1.4,17.5,23.9,1.9,1.8,3.7,0.085,0.5,0.2,0.308,0.553,0.55,0.728
10973,1993.0,Michael Cage,C,31.0,SEA,82.0,2156.0,13.2,0.527,0.002,0.313,14.3,21.6,4.1,1.8,1.4,11.1,10.4,2.9,3.3,6.2,0.137,0.0,1.7,0.0,0.528,0.526,0.469
10976,1993.0,Tony Campbell,SF,30.0,NYK,58.0,1062.0,11.6,0.517,0.013,0.22,6.4,9.8,9.4,1.6,0.3,10.5,19.8,0.7,1.9,2.5,0.115,-1.7,0.8,0.4,0.491,0.492,0.678
10977,1993.0,Antoine Carr,PF,31.0,SAS,71.0,1947.0,16.1,0.58,0.007,0.318,6.6,15.8,7.8,0.9,2.8,10.7,20.3,3.2,2.3,5.5,0.136,0.2,0.6,0.0,0.541,0.538,0.777
10978,1993.0,Bill Cartwright,C,35.0,CHI,63.0,1253.0,8.3,0.458,0.0,0.286,7.4,14.3,8.7,0.8,0.5,13.8,15.5,0.1,1.1,1.2,0.048,-3.5,-0.8,,0.411,0.411,0.735
10982,1993.0,Tom Chambers,PF,33.0,PHO,73.0,1723.0,14.7,0.529,0.039,0.402,6.4,15.7,8.4,1.2,0.8,9.8,22.4,2.6,1.8,4.5,0.124,-1.0,-1.2,0.393,0.449,0.455,0.837
10992,1993.0,Tyrone Corbin,SF,30.0,UTA,82.0,2555.0,14.4,0.551,0.007,0.285,8.9,14.0,9.8,2.1,0.8,11.1,16.3,3.8,3.0,6.7,0.126,0.9,1.7,0.0,0.506,0.503,0.826
11016,1993.0,Clyde Drexler,SG,30.0,POR,49.0,1671.0,20.7,0.517,0.163,0.358,8.0,12.4,26.2,2.8,1.4,10.9,26.1,3.4,2.5,6.0,0.171,4.2,1.9,0.233,0.467,0.448,0.839
11022,1993.0,Mark Eaton,C,36.0,UTA,64.0,1104.0,8.7,0.582,0.0,0.385,7.8,19.1,2.0,0.8,4.6,22.1,7.6,0.4,1.5,1.9,0.082,-3.6,2.8,,0.546,0.546,0.7
11026,1993.0,Craig Ehlo,SG,31.0,CLE,82.0,2559.0,14.2,0.566,0.311,0.153,5.3,12.4,13.9,2.1,0.5,12.9,16.7,3.0,3.1,6.2,0.116,1.6,0.8,0.381,0.54,0.55,0.717
11029,1993.0,Dale Ellis,SG,32.0,SAS,82.0,2731.0,15.0,0.579,0.272,0.18,3.6,9.3,6.2,1.4,0.4,8.6,20.8,4.1,2.3,6.4,0.113,2.0,-1.3,0.401,0.536,0.554,0.797
11033,1993.0,Patrick Ewing,C,30.0,NYK,81.0,3003.0,20.8,0.546,0.005,0.359,7.3,28.4,9.2,1.3,3.6,12.9,29.7,2.6,8.1,10.6,0.17,-0.8,3.0,0.143,0.504,0.503,0.719
11036,1993.0,Vern Fleming,PG,30.0,IND,75.0,1503.0,15.7,0.554,0.065,0.356,4.6,7.6,22.3,2.1,0.4,15.9,21.5,1.9,0.9,2.9,0.091,0.8,-1.4,0.194,0.527,0.512,0.726
11072,1993.0,Derek Harper,SG,31.0,DAL,62.0,2108.0,15.9,0.522,0.274,0.337,2.0,4.6,25.7,1.8,0.5,11.2,23.5,2.9,-0.2,2.7,0.062,2.6,-3.5,0.393,0.428,0.472,0.756
11078,1993.0,Rod Higgins,SF,33.0,SAC,69.0,1425.0,12.5,0.52,0.275,0.313,5.0,10.3,11.8,1.7,1.3,10.3,17.5,1.5,1.0,2.5,0.085,-0.3,-0.6,0.323,0.446,0.457,0.861
11088,1993.0,Jay Humphries,SG,30.0,UTA,78.0,2034.0,10.5,0.482,0.114,0.197,2.3,5.6,22.2,2.5,0.3,15.6,17.9,0.0,1.8,1.8,0.043,-1.5,-0.4,0.2,0.466,0.447,0.777
11101,1993.0,Eddie Johnson,SF,33.0,SEA,82.0,1869.0,17.1,0.533,0.057,0.259,7.6,9.4,11.5,1.0,0.1,10.8,27.9,3.4,1.5,4.8,0.124,0.8,-2.9,0.304,0.477,0.476,0.911
11102,1993.0,Frank Johnson,PG,34.0,PHO,77.0,1122.0,10.8,0.481,0.038,0.244,4.2,7.0,21.7,2.6,0.4,18.8,15.6,0.3,1.2,1.5,0.064,-2.1,-0.2,0.083,0.45,0.438,0.776
11105,1993.0,Charles Jones,C,35.0,WSB,67.0,1206.0,7.8,0.552,0.016,0.603,8.0,18.1,4.3,1.5,3.9,32.3,4.2,0.3,1.3,1.6,0.063,-4.1,3.4,0.0,0.532,0.524,0.579
11114,1993.0,Jerome Kersey,SF,30.0,POR,65.0,1719.0,13.7,0.475,0.044,0.285,7.8,18.4,10.3,2.3,1.5,10.4,19.3,0.6,2.8,3.4,0.094,-1.8,1.9,0.286,0.445,0.444,0.634
11122,1993.0,Joe Kleine,C,31.0,BOS,78.0,1129.0,9.6,0.439,0.022,0.217,11.5,23.1,4.4,0.8,0.9,11.2,12.7,0.2,1.3,1.5,0.064,-3.3,0.0,0.0,0.414,0.404,0.707
11128,1993.0,Bill Laimbeer,C,35.0,DET,79.0,1933.0,14.3,0.554,0.047,0.181,6.0,18.5,9.7,1.2,1.3,8.7,15.1,3.3,2.1,5.4,0.133,-0.6,1.4,0.37,0.516,0.517,0.894
11147,1993.0,Rick Mahorn,PF,34.0,NJN,74.0,1077.0,10.3,0.554,0.014,0.514,9.4,18.9,4.2,0.9,1.8,18.1,12.5,0.8,1.5,2.3,0.102,-3.0,0.7,0.333,0.474,0.474,0.8
11149,1993.0,Jeff Malone,SG,31.0,UTA,79.0,2558.0,13.7,0.538,0.007,0.23,1.4,6.1,8.2,0.8,0.1,8.6,24.4,2.4,1.2,3.6,0.068,-1.1,-2.6,0.333,0.495,0.495,0.852
11161,1993.0,Rodney McCray,SF,31.0,CHI,64.0,1019.0,7.6,0.489,0.025,0.255,5.8,12.3,10.1,0.6,1.0,18.9,11.9,0.1,0.8,0.9,0.044,-3.6,-0.4,0.4,0.452,0.456,0.692
11163,1993.0,Kevin McHale,PF,35.0,BOS,71.0,1656.0,14.4,0.519,0.028,0.3,6.6,17.8,6.4,0.5,2.2,11.1,21.7,1.2,1.6,2.8,0.082,-1.9,-0.6,0.111,0.469,0.461,0.841
11180,1993.0,Larry Nance,PF,33.0,CLE,77.0,2753.0,19.8,0.587,0.004,0.254,8.0,19.3,12.1,1.0,4.4,9.0,19.1,6.3,4.4,10.7,0.187,1.7,2.7,0.0,0.551,0.549,0.818
11195,1993.0,Hakeem Olajuwon,C,30.0,HOU,82.0,3242.0,27.3,0.577,0.005,0.356,10.5,25.9,15.8,2.4,6.5,12.4,28.8,7.9,8.0,15.8,0.234,3.0,5.4,0.0,0.532,0.529,0.779
11202,1993.0,Robert Parish,C,39.0,BOS,79.0,2146.0,19.2,0.565,0.0,0.302,13.1,25.8,4.2,1.3,3.1,12.0,20.2,3.4,3.4,6.8,0.152,0.0,0.7,,0.535,0.535,0.689
11203,1993.0,John Paxson,PG,32.0,CHI,59.0,1030.0,9.3,0.509,0.176,0.086,1.0,4.5,17.1,1.9,0.1,11.4,11.5,1.1,0.8,1.9,0.087,-2.0,-1.9,0.463,0.448,0.491,0.85
11208,1993.0,Sam Perkins,PF,31.0,TOT,79.0,2351.0,16.5,0.555,0.089,0.382,7.9,17.8,9.7,1.3,2.2,10.4,18.8,4.3,2.6,6.9,0.141,0.6,0.6,0.338,0.49,0.492,0.82
11215,1993.0,Ricky Pierce,SG,33.0,SEA,77.0,2218.0,19.2,0.572,0.106,0.329,3.0,7.2,15.5,2.3,0.2,11.5,26.3,5.4,2.3,7.7,0.167,2.6,-1.6,0.372,0.503,0.509,0.889
11238,1993.0,Doc Rivers,PG,31.0,NYK,77.0,1886.0,14.6,0.534,0.249,0.328,1.6,9.5,31.1,3.3,0.3,16.8,15.6,2.4,4.1,6.5,0.166,0.3,2.1,0.317,0.477,0.477,0.821
11239,1993.0,Fred Roberts,C,32.0,MIL,79.0,1488.0,15.5,0.596,0.068,0.395,7.0,11.4,11.7,1.9,1.2,11.8,16.4,3.0,1.0,3.9,0.127,0.5,-0.4,0.414,0.536,0.542,0.799
11241,1993.0,Alvin Robertson,SG,30.0,TOT,69.0,2006.0,13.2,0.519,0.226,0.237,5.8,9.4,18.6,3.9,0.6,18.3,15.6,1.0,2.4,3.4,0.08,0.2,2.2,0.328,0.496,0.495,0.656
11248,1993.0,Dennis Rodman,PF,31.0,DET,62.0,2410.0,13.6,0.467,0.17,0.38,16.1,36.8,5.6,1.0,1.2,17.1,10.7,1.4,4.1,5.5,0.11,-2.0,2.8,0.205,0.472,0.444,0.534
11256,1993.0,Mike Sanders,SF,32.0,CLE,53.0,1189.0,11.8,0.528,0.01,0.197,5.2,10.9,9.0,1.7,1.5,11.7,18.2,0.6,1.4,2.0,0.08,-1.9,0.2,0.25,0.5,0.499,0.756
11257,1993.0,Danny Schayes,C,33.0,MIL,70.0,1124.0,10.6,0.498,0.011,0.521,7.3,18.4,9.4,1.6,2.1,16.7,14.8,0.3,1.1,1.4,0.058,-3.7,0.8,0.0,0.404,0.399,0.818
11260,1993.0,Detlef Schrempf,PF,30.0,IND,82.0,3098.0,19.2,0.571,0.048,0.602,7.5,19.9,23.2,1.3,0.6,15.0,22.1,7.6,2.9,10.4,0.161,3.2,0.9,0.154,0.493,0.48,0.804
11261,1993.0,Byron Scott,SG,31.0,LAL,58.0,1677.0,14.4,0.535,0.205,0.279,1.8,7.3,14.2,1.6,0.5,8.6,20.7,2.4,0.9,3.3,0.094,0.6,-1.9,0.326,0.481,0.483,0.848
11295,1993.0,John Stockton,PG,30.0,UTA,82.0,2863.0,21.3,0.584,0.208,0.408,2.6,6.7,49.8,3.5,0.5,20.1,19.9,7.2,3.4,10.6,0.177,4.3,-1.0,0.385,0.513,0.526,0.798
11300,1993.0,Isiah Thomas,PG,31.0,DET,79.0,2922.0,15.4,0.488,0.157,0.3,2.6,6.4,35.6,2.2,0.4,16.6,25.1,1.4,2.3,3.7,0.061,1.0,-0.8,0.308,0.439,0.442,0.737
11302,1993.0,Otis Thorpe,PF,30.0,HOU,72.0,2357.0,14.6,0.575,0.003,0.371,11.2,16.8,11.5,0.9,0.5,15.8,17.9,3.2,2.8,6.0,0.122,0.5,0.7,0.0,0.56,0.558,0.598
11303,1993.0,Sedale Threatt,PG,31.0,LAL,82.0,2893.0,16.5,0.55,0.052,0.209,1.8,9.0,29.8,2.4,0.2,13.4,19.2,4.8,2.3,7.1,0.117,1.6,-0.8,0.264,0.521,0.515,0.823
11307,1993.0,Jeff Turner,PF,30.0,ORL,75.0,1479.0,11.4,0.564,0.039,0.16,6.0,12.8,10.9,0.6,0.4,12.4,15.5,1.8,1.2,3.1,0.1,-0.7,-0.3,0.588,0.526,0.54,0.8
11320,1993.0,Mark West,C,32.0,PHO,82.0,1558.0,11.4,0.609,0.0,0.582,11.2,21.3,2.4,0.5,4.0,20.6,11.9,1.2,2.2,3.4,0.104,-2.3,1.0,,0.614,0.614,0.518
11325,1993.0,Dominique Wilkins,SF,33.0,ATL,71.0,2647.0,24.3,0.57,0.199,0.396,7.6,12.9,14.9,1.3,0.6,9.0,31.9,9.1,1.4,10.5,0.191,5.9,-2.4,0.38,0.49,0.506,0.828
11328,1993.0,Buck Williams,PF,32.0,POR,82.0,2498.0,11.9,0.545,0.002,0.405,9.9,20.7,4.1,1.6,1.5,14.0,11.9,2.3,3.8,6.1,0.117,-1.8,2.0,0.0,0.512,0.511,0.645
11331,1993.0,Hot Rod,C,30.0,CLE,67.0,2055.0,13.7,0.535,0.0,0.529,7.4,15.4,10.1,1.2,3.1,14.4,17.4,1.7,2.8,4.5,0.105,-1.4,1.9,,0.47,0.47,0.716
11343,1993.0,Kevin Willis,PF,30.0,ATL,80.0,2878.0,17.4,0.531,0.024,0.246,12.5,27.9,8.9,1.2,0.9,13.6,22.5,3.0,3.0,6.0,0.099,-0.3,-0.1,0.241,0.512,0.509,0.653
11351,1993.0,Orlando Woolridge,SF,33.0,TOT,58.0,1555.0,13.4,0.516,0.015,0.295,5.9,7.3,11.5,0.9,1.1,10.5,20.8,1.5,0.8,2.3,0.072,-0.7,-0.6,0.0,0.49,0.482,0.678
11354,1993.0,James Worthy,SF,31.0,LAL,82.0,2359.0,15.6,0.494,0.097,0.185,3.5,8.5,19.1,1.9,0.7,10.0,24.9,1.4,1.6,3.0,0.06,-0.1,-1.5,0.27,0.466,0.46,0.81
11360,1994.0,Michael Adams,PG,31.0,WSB,70.0,2337.0,14.2,0.52,0.274,0.387,1.8,7.4,29.8,2.1,0.2,17.0,18.1,2.9,0.2,3.1,0.063,0.9,-2.5,0.288,0.454,0.448,0.83
11362,1994.0,Danny Ainge,SG,34.0,PHO,68.0,1555.0,11.8,0.524,0.454,0.175,2.0,7.4,15.9,1.8,0.3,12.3,17.8,1.9,1.0,2.8,0.087,0.7,-1.9,0.328,0.491,0.492,0.83
11385,1994.0,Thurl Bailey,PF,32.0,MIN,79.0,1297.0,15.2,0.56,0.004,0.327,6.1,13.2,7.2,0.8,2.9,10.0,19.5,1.9,0.7,2.6,0.097,-1.3,-1.2,0.0,0.512,0.51,0.799
11387,1994.0,Charles Barkley,PF,30.0,PHO,65.0,2298.0,22.8,0.563,0.17,0.432,9.8,25.6,20.0,2.2,1.0,14.2,26.5,5.6,3.3,8.8,0.185,4.1,1.5,0.27,0.541,0.518,0.704
11409,1994.0,Frank Brickowski,C,34.0,TOT,71.0,2094.0,14.3,0.54,0.027,0.337,4.5,17.9,17.2,1.9,0.8,17.3,21.5,1.0,1.7,2.7,0.062,-1.2,0.0,0.2,0.496,0.491,0.768
11416,1994.0,Mike Brown,C,30.0,MIN,82.0,1921.0,7.2,0.479,0.008,0.454,7.4,19.6,5.4,1.3,1.0,19.4,8.8,0.0,1.6,1.5,0.038,-3.7,1.1,0.0,0.43,0.427,0.653
11426,1994.0,Michael Cage,C,32.0,SEA,82.0,1708.0,11.9,0.545,0.003,0.236,11.3,19.5,3.5,2.3,1.6,12.8,10.0,1.9,3.0,4.9,0.137,-1.2,1.9,0.0,0.546,0.545,0.486
11428,1994.0,Tony Campbell,SF,31.0,TOT,63.0,1214.0,13.3,0.491,0.055,0.234,6.8,10.7,11.4,2.1,0.8,12.9,22.8,0.4,1.2,1.5,0.061,-1.8,-0.9,0.25,0.455,0.45,0.783
11436,1994.0,Tom Chambers,PF,34.0,UTA,80.0,1838.0,13.4,0.512,0.06,0.376,5.5,14.8,6.8,1.1,1.2,9.3,23.1,1.8,2.1,3.9,0.101,-1.6,-0.9,0.311,0.448,0.449,0.786
11454,1994.0,Tyrone Corbin,SF,31.0,UTA,82.0,2149.0,11.8,0.506,0.049,0.245,8.2,12.7,8.3,2.4,0.8,12.4,15.3,1.6,2.8,4.4,0.099,-0.6,2.0,0.207,0.469,0.461,0.813
11460,1994.0,Terry Cummings,PF,32.0,SAS,59.0,1133.0,12.7,0.452,0.005,0.25,13.8,15.6,6.9,1.5,0.8,11.0,21.1,0.4,1.4,1.8,0.076,-1.8,-0.9,0.0,0.43,0.428,0.589
11471,1994.0,Johnny Dawkins,PG,30.0,PHI,72.0,1343.0,13.5,0.509,0.248,0.236,2.3,7.8,30.1,2.4,0.2,19.2,18.7,0.6,0.6,1.1,0.041,-1.1,-2.4,0.352,0.44,0.462,0.84
11480,1994.0,Clyde Drexler,SG,31.0,POR,68.0,2334.0,18.4,0.514,0.198,0.333,6.9,14.2,21.9,2.0,0.9,11.6,25.0,4.2,2.7,6.8,0.14,3.3,0.6,0.324,0.454,0.46,0.777
11483,1994.0,Joe Dumars,SG,30.0,DET,69.0,2591.0,16.2,0.558,0.286,0.295,1.5,5.0,16.6,1.2,0.1,11.2,24.0,4.6,-0.1,4.4,0.082,2.6,-3.1,0.388,0.477,0.507,0.836
11490,1994.0,Craig Ehlo,SG,32.0,ATL,82.0,2147.0,15.0,0.529,0.312,0.218,3.6,10.7,18.8,3.2,0.8,14.4,18.1,2.4,3.5,5.9,0.132,0.8,1.4,0.348,0.491,0.501,0.727
11491,1994.0,Mario Elie,SF,30.0,HOU,67.0,1606.0,13.4,0.575,0.358,0.384,2.1,10.0,19.1,1.6,0.3,16.7,18.0,2.1,2.0,4.2,0.125,0.0,-0.2,0.335,0.508,0.506,0.86
